id,question,title
1,パソコンの貸し出しはありますか？,パソコンの貸し出しはありますか？
2,パソコンの貸与はありますか？,パソコンの貸し出しはありますか？
3,PCの貸し出しはありますか？,パソコンの貸し出しはありますか？
4,PCの貸与はありますか？,パソコンの貸し出しはありますか？
5,新歓はありますか？,新歓はあるか
6,新歓はいつですか？,新歓はあるか
7,歓迎会はありますか？,新歓はあるか
8,歓迎会はいつですか？,新歓はあるか
9,新入生歓迎会はありますか？,新歓はあるか
10,社会人でも参加できますか？,社会人でも参加できますか？
11,社会人でも入れますか？,社会人でも参加できますか？
12,学生以外でも参加できますか？,社会人でも参加できますか？
13,学生以外でも入れますか？,社会人でも参加できますか？
14,友達はできますか？,友達はできますか？
15,友達ができますか？,友達はできますか？
16,友人はできますか？,友達はできますか？
17,友人ができますか？,友達はできますか？
18,大学生活を楽しめますか？,友達はできますか？
19,大学生活を謳歌できますか,友達はできますか？
20,学生生活を楽しめますか？,友達はできますか？
21,学生生活を謳歌できますか？,友達はできますか？
22,サークルへの参加は何か特定のスキルや経験が必要ですか？,サークル参加の条件
23,サークルへの参加は何か特定のスキルや経験がいりますか？,サークル参加の条件
24,サークルへの参加は何か特定の条件が必要ですか？,サークル参加の条件
25,サークルへの参加は何か特定の条件がいりますか？,サークル参加の条件
26,サークルの指導者はいますか？,サークルの指導者は誰ですか？
27,サークルの指導者は誰？,サークルの指導者はいますか？
28,サークルの顧問はいますか？,サークルの指導者はいますか？
29,サークルの顧問は誰ですか？,サークルの指導者はいますか？
30,サークルの顧問は誰？,サークルの指導者はいますか？
31,初心者でも大丈夫か？,初心者でも大丈夫か
32,初心者でもついていけるか？,初心者でも大丈夫か
33,初心者でも問題ないか？,初心者でも大丈夫か
34,はじめたてでも大丈夫か？,初心者でも大丈夫か
35,はじめたてでもついていけるか？,初心者でも大丈夫か
36,はじめたてでも問題ないか？,初心者でも大丈夫か
37,Tech.Uniの歴史について,Tech.Uniとは何ですか？
38,Tech.Uniの歴史とは,Tech.Uniとは何ですか？
39,techuniの歴史について,Tech.Uniとは何ですか？
40,techuniの歴史とは,Tech.Uniとは何ですか？
41,techuniの活動内容について,Tech.Uniとは何ですか？
42,techuniの活動内容とは,Tech.Uniとは何ですか？
43,テックユニの歴史について,Tech.Uniとは何ですか？
44,テックユニの歴史とは,Tech.Uniとは何ですか？
45,テックユニの活動内容について,Tech.Uniとは何ですか？
46,テックユニの活動内容とは,Tech.Uniとは何ですか？
47,techuniの活動内容について,Tech.Uniとは何ですか？
48,techuniの活動内容とは,Tech.Uniとは何ですか？
49,テックユニの歴史について,Tech.Uniとは何ですか？
50,テックユニの活動内容について,Tech.Uniとは何ですか？
51,テックユニの活動内容とは,Tech.Uniとは何ですか？
52,テクユニの歴史について,Tech.Uniとは何ですか？
53,テクユニの歴史とは,Tech.Uniとは何ですか？
54,テクユニの活動内容について,Tech.Uniとは何ですか？
55,テクユニの活動内容とは,Tech.Uniとは何ですか？
56,情報学部じゃなくても入れますか？,情報学部じゃなくても入れますか
57,情報専攻じゃなくても入れますか？,情報学部じゃなくても入れますか
58,ハッカソンとはなんですか?,ハッカソンとは
59,ハッカソンとはどんなイベント?,ハッカソンとは
60,プログラミングしたことがないのですが大丈夫ですか？,プログラミング経験なしでも入れるか
61,プログラミングしたことがないのですが問題ないですか？,プログラミング経験なしでも入れるか
62,プログラミング経験がないのですが大丈夫ですか？,プログラミング経験なしでも入れるか
63,プログラミング経験がないのですが問題ないですか？,プログラミング経験なしでも入れるか
64,参加人数は何人ですか?,参加人数は何人
65,参加人数は何人いますか?,参加人数は何人
66,在籍人数は何人ですか?,参加人数は何人
67,在籍人数は何人いますか?,参加人数は何人
68,他大学でも参加できますか？,他大学でも参加できますか
69,他大学でも加入できますか？,他大学でも参加できますか
70,このサークルの強みはなんですか?,強み・メリットはなに？
71,このサークルのメリットはなんですか?,強み・メリットはなに？
72,このサークルの良さはなんですか?',強み・メリットはなに？
73,会費はいくらですか？,会費はいくら
74,会費はかかりますか？,会費はいくら
75,入会費はいくらですか？,会費はいくら
76,入会費はかかりますか？,会費はいくら
77,参加費はいくらですか？,会費はいくら
78,参加費はかかりますか？,会費はいくら
79,お金はいくらですか？,会費はいくら
80,お金はかかりますか？,会費はいくら
81,男女比はどの程度ですか？,男女比はどの程度か
82,男女比はどのくらいですか？,男女比はどの程度か
83,男女比率はどの程度ですか？,男女比はどの程度か
84,男女比率はどのくらいですか？,男女比はどの程度か
85,どれぐらいの頻度で活動していますか?,どれぐらいの頻度で活動していますか
86,どれぐらいのペースで活動していますか?,どれぐらいの頻度で活動していますか
87,どのぐらいの頻度で活動していますか?,どれくらいの頻度で活動していますか
88,どのぐらいのペースで活動していますか?,どれくらいの頻度で活動していますか
